Year,Inflow,Stock,Outflow,R1_Bau,R1_Moderate,R1_Aggressive,R2_Bau,R2_Moderate,R2_Aggressive
2026,10,10,0,0,0,0,65,65,65
2027,10,19.99902606,0.000973937,0.6,1.2,1.8,65.5,66,66.4
2028,10,29.98801276,0.011013303,1.2,2.4,3.6,66,67,67.8
2029,10,39.94256761,0.045445152,1.8,3.6,5.4,66.5,68,69.2
2030,10,49.81867155,0.123896056,2.4,4.8,7.2,67,69,70.6
2031,10,59.55010696,0.268564592,3,6,9,67.5,70,72
2032,10,69.04783473,0.502272226,3.6,7.2,10.8,68,71,73.4
2033,10,78.20188786,0.845946878,4.2,8.4,12.6,68.5,72,74.8
2034,10,86.8863644,1.315523458,4.8,9.6,14.4,69,73,76.2
2035,10,94.96784232,1.918522082,5.4,10.8,16.2,69.5,74,77.6
2036,7.683010543,100,2.650852859,6,12,18,70,75,79
2037,3.494411713,100,3.494411713,6.6,13.2,19.8,70.5,76,80.4
2038,4.414960901,100,4.414960901,7.2,14.4,21.6,71,77,81.8
2039,5.361901523,100,5.361901523,7.8,15.6,23.4,71.5,78,83.2
2040,6.274569906,100,6.274569906,8.4,16.8,25.2,72,79,84.6
2041,7.091642017,100,7.091642017,9,18,27,72.5,80,86
2042,7.760414296,100,7.760414296,9.6,19.2,28.8,73,81,87.4
2043,8.244764564,100,8.244764564,10.2,20.4,30.6,73.5,82,88.8
2044,8.530124239,100,8.530124239,10.8,21.6,32.4,74,83,90.2
2045,8.624455163,100,8.624455163,11.4,22.8,34.2,74.5,84,91.6
2046,8.55535913,100,8.55535913,12,24,36,75,85,93
2047,8.36447921,100,8.36447921,12.6,25.2,37.8,75.5,86,94.4
2048,8.100794515,100,8.100794515,13.2,26.4,39.6,76,87,95.8
2049,7.814140405,100,7.814140405,13.8,27.6,41.4,76.5,88,97.2
2050,7.549617958,100,7.549617958,14.4,28.8,43.2,77,89,98.6
