method,RCP,scenario,year,AEF,CEF
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2026,0.0042056845868688976,0.0042056845868688976
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2027,0.002226302442397738,0.0028861179112440486
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2028,0.001544671252528447,0.0022155177231078936
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2029,0.0011877584603972393,0.0018047151061038906
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2030,0.0009609796232330629,0.0015240188506061387
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2031,0.0008258318376845872,0.001325368912100974
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2032,0.0007260196814852127,0.0011766916041419393
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2033,0.0006484733696435035,0.0010608372151619662
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2034,0.0005859243491149102,0.0009677829874245098
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2035,0.0005339991929748243,0.0008912686227905931
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2036,0.0004373374850669319,0.0008201643790259158
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2037,0.00030058632883416426,0.0007497992081475592
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2038,0.0003207905558472467,0.0006986294242611579
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2039,0.0003413660454219118,0.0006605579730920735
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2040,0.0003605328130270954,0.0006316650135957654
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2041,0.0003801744653268768,0.0006095734783695238
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2042,0.00039535190363151196,0.0005922752569213712
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2043,0.0004050793779771285,0.0005782887390447086
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2044,0.00040900421736757097,0.0005665198118120375
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2045,0.00040742219581107694,0.0005561780686589454
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2046,0.00040557099300865025,0.0005469857552484729
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2047,0.0004002620572568689,0.0005385456089837743
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2048,0.0003928968520556404,0.000530623036443522
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2049,0.0003848954322704077,0.0005231051128885504
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2050,0.00037753789485340167,0.0005159638720737456
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2026,0.0042056845868688976,0.0042056845868688976
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2027,0.002226272717750763,0.0028860980951344096
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2028,0.0015446268893905713,0.002215485635737488
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2029,0.0011877009059172562,0.0018046728393503921
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2030,0.0009609057968836214,0.0015239660845189202
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2031,0.0008257365843469035,0.001325304057433567
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2032,0.0007258936146562083,0.0011766115649061108
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2033,0.0006483043759808881,0.0010607376655039497
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2034,0.0005856980200781665,0.0009676585966682121
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2035,0.0005336994814672217,0.0008911133075136821
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2036,0.0004369605715915451,0.0008199743523775812
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2037,0.0003001135956386527,0.000749570895250425
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2038,0.00032014161712993745,0.0006983509414380793
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2039,0.0003405156970408719,0.0006602185499293052
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2040,0.0003594655323222629,0.0006312554964499544
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2041,0.00037888390563678534,0.0006090865683255036
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2042,0.0003938476627443889,0.0005917061982224755
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2043,0.00040338382548987583,0.0005776355132925763
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2044,0.00040714947937454265,0.0005657830550318338
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2045,0.0004054456371359824,0.0005553607216531937
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2046,0.0004035075250563426,0.0005460923511634727
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2047,0.00039814421936523476,0.0005375817704661578
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2048,0.00039074857734903155,0.000529594770451037
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2049,0.00038272945672562943,0.000522018153737069
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2050,0.0003753547342653803,0.0005148231354403177
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2026,0.0042056845868688976,0.0042056845868688976
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2027,0.002226243006231893,0.002886078287776698
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2028,0.0015445827189579512,0.0022154536490787873
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2029,0.001187644222303259,0.0018046309811446902
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2030,0.0009608344368061243,0.0015239144115488624
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2031,0.0008256468341449327,0.001325241550632977
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2032,0.0007257780302876627,0.0011765358914415565
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2033,0.0006481532752943225,0.0010606454485462939
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2034,0.0005854998433905319,0.0009675456180055165
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2035,0.0005334413235620918,0.0008909747209383926
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2036,0.0004366438992223517,0.0008198078702590068
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2037,0.0002997277167457318,0.0007493747007690759
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2038,0.0003196117027237775,0.0006981149426862578
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2039,0.00033982104496403187,0.0006599336751977408
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2040,0.0003585933268158076,0.0006309140607143525
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2041,0.00037782903949829764,0.0006086824631457204
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2042,0.00039261791524448664,0.0005912354230832923
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2043,0.0004019974230431242,0.0005770963261895297
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2044,0.00040563263725042713,0.0005651758998080896
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2045,0.00040382886998990733,0.0005546879391281265
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2046,0.00040181964096254854,0.0005453576118430632
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2047,0.000396411833077448,0.0005367896424182253
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2048,0.00038899126495357627,0.0005287501411448087
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2049,0.00038095763573238765,0.0005211256916522581
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Aggressive,2050,0.0003735688261254086,0.0005138868426529554
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2026,0.3937947567791776,0.3937947567791776
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2027,0.22046943786440243,0.2782464198797896
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2028,0.15975764882066046,0.21901291130304662
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2029,0.12722188052801303,0.18232338971174888
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2030,0.10597492497180513,0.15692357116602904
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2031,0.09154318107021613,0.13832137686621007
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2032,0.08025340285038163,0.1239167699787719
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2033,0.07093505048393628,0.11229626099537618
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2034,0.06293518988485852,0.10262447342997513
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2035,0.055859208128650396,0.09437563009545899
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2036,0.04597578237219031,0.08679422779742232
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2037,0.03376258601461196,0.07961228365134053
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2038,0.032057578794456316,0.07394022096155363
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2039,0.03027451132280472,0.06928702382257941
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2040,0.028301349976912984,0.06534003013013286
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2041,0.02833401733104976,0.06208933287347248
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2042,0.02805617393206422,0.05934118240978254
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2043,0.027424958848496106,0.05695653145532186
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2044,0.02643756269477338,0.05483480456026598
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2045,0.025128746182262733,0.05290383643165357
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2046,0.024503602815765323,0.05117042618382388
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2047,0.023696013328477934,0.04958998576274683
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2048,0.022788096143492115,0.04813209542984715
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2049,0.021858644278452563,0.046776677570600514
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,BAU,2050,0.020974894829262677,0.04551089296267677
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2026,0.3937947567791776,0.3937947567791776
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2027,0.22047963942293117,0.2782532208084085
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2028,0.15977058011293244,0.21902277685074106
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2029,0.12723546035658012,0.1823347398836721
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2030,0.10598798969966292,0.15693549174116564
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2031,0.0915547998613627,0.13833321157700093
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2032,0.08026253064926545,0.12392793320063003
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2033,0.07094054667635526,0.11230618126462469
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2034,0.06293583376304411,0.10263257608705041
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2035,0.05585375370989007,0.09438134144364461
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2036,0.045959544315237626,0.0867965009680437
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2037,0.033729787335579374,0.07960980712806508
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2038,0.03201313221031802,0.07393273848109634
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2039,0.03021703270785512,0.06927421354894289
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2040,0.028230173149938594,0.06532159905302384
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2041,0.028248924123323034,0.06206504603432018
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2042,0.02795813026046492,0.059310939765186546
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2043,0.02731573299784346,0.0569203875054744
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2044,0.026319494357023375,0.05479296509761998
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2045,0.025004432228432846,0.05285663592070311
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2046,0.024374727220562314,0.05111824062838574
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2047,0.023564670693541314,0.04953324676885261
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2048,0.022655808337333477,0.04807124695394897
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2049,0.021726217098627792,0.04671213642969671
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Moderate,2050,0.020842375541712296,0.045443016947878286
"EF v3.1, climate change, global warming potential (GWP100)",RCP26,Aggressive,2026,0.3937947567791776,0.3937947567791776
