method,RCP,scenario,year,N_in_E_prd,N_stock_E_opr,N_out_E_eol,AEF,CEF
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2026,18951.764181789084,2076.658752555401,-0.0,0.0042056845868688976,0.0042056845868688976
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2027,18441.362035499624,3820.6155961122276,-0.03735013484239752,0.002226302442397738,0.0028861179112440486
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2028,17930.9023063999,5230.337969445641,-0.4296604314142499,0.001544671252528447,0.0022155177231078936
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2029,17420.38499448992,6302.4777551372745,-1.8014452440717965,0.0011877584603972393,0.0018047151061038906
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2030,16909.81009976968,7032.538473939163,-4.984465663487152,0.0009609796232330629,0.0015240188506061387
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2031,16629.85528367891,7970.311354915113,-10.979506048757225,0.0008258318376845872,0.001325368912100974
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2032,16349.859610292699,8736.035186559604,-20.851307893198314,0.0007260196814852127,0.0011766916041419393
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2033,16069.823079611047,9321.734449540532,-35.63666262278429,0.0006484733696435035,0.0010608372151619662
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2034,15789.745691633952,9720.870918168639,-56.19835578713819,0.0005859243491149102,0.0009677829874245098
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2035,15509.627446361414,9929.806783930651,-83.05865157187681,0.0005339991929748243,0.0008912686227905931
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2036,11836.567721106732,10146.608727225834,-116.30219498597192,0.0004373374850669319,0.0008201643790259158
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2037,5347.38435894864,9837.249896010615,-155.31781325104157,0.00030058632883416426,0.0007497992081475592
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2038,6710.37616023685,9527.891064795398,-198.73943266991282,0.0003207905558472467,0.0006986294242611579
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2039,8094.144184321404,9218.53223358018,-244.37414680599488,0.0003413660454219118,0.0006605579730920735
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2040,9406.91677326507,8909.173402364962,-289.44952427526,0.0003605328130270954,0.0006316650135957654
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2041,10594.910940720129,8744.980046264645,-331.16772064093243,0.0003801744653268768,0.0006095734783695238
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2042,11553.593195096793,8580.786690164328,-366.7847036855253,0.00039535190363151196,0.0005922752569213712
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2043,12231.69195340869,8416.59333406401,-394.3163886162745,0.0004050793779771285,0.0005782887390447086
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2044,12610.553765785176,8252.399977963692,-412.7428753703197,0.00040900421736757097,0.0005665198118120375
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2045,12705.02043635192,8088.206621863375,-422.1172676614484,0.00040742219581107694,0.0005561780686589454
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2046,12595.446201189603,8106.492896533268,-423.3894472903598,0.00040557099300865025,0.0005469857552484729
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2047,12306.814342470321,8124.77917120316,-418.4906508300354,0.0004002620572568689,0.0005385456089837743
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2048,11911.476718474672,8143.065445873053,-409.69956156570305,0.0003928968520556404,0.000530623036443522
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2049,11482.865148172908,8161.351720542944,-399.44525519546903,0.0003848954322704077,0.0005231051128885504
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,BAU,2050,11087.277301365457,8179.637995212837,-390.02055390820897,0.00037753789485340167,0.0005159638720737456
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2026,18951.764181789084,2076.658752555401,-0.0,0.0042056845868688976,0.0042056845868688976
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2027,18441.06545987816,3820.6155961122276,-0.03800650811983808,0.002226272717750763,0.0028860980951344096
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2028,17930.251572346715,5230.337969445641,-0.4441075505752905,0.0015446268893905713,0.002215485635737488
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2029,17419.322519194753,6302.4777551372745,-1.8884068029007033,0.0011877009059172562,0.0018046728393503921
"EF v3.1, acidification, accumulated exceedance (AE)",RCP26,Moderate,2030,16908.278300422273,7032.538473939163,-5.291631643362787,0.0009609057968836214,0.0015239660845189202
