method,year,RCP,scenario,AEF,CEF,AEF_baseline,CEF_baseline,AEF_pct,CEF_pct
"EF v3.1, acidification, accumulated exceedance (AE)",2026,RCP26,BAU,0.0042056845868688,0.0042056845868688,0.0043215337446463,0.0043215337446463,2.680741714004168,2.680741714004168
"EF v3.1, acidification, accumulated exceedance (AE)",2027,RCP26,BAU,0.0022263024423977,0.002886117911244,0.0023777407411472,0.0030256927778604,6.368999619211431,4.612988722374504
"EF v3.1, acidification, accumulated exceedance (AE)",2028,RCP26,BAU,0.0015446712525284,0.0022155177231078,0.0017316236358074,0.002378776998926,10.796363563831251,6.863160182392483
"EF v3.1, acidification, accumulated exceedance (AE)",2029,RCP26,BAU,0.0011877584603972,0.0018047151061038,0.0014102558799706,0.0019916522852638,15.777095684085248,9.386034929045845
"EF v3.1, acidification, accumulated exceedance (AE)",2030,RCP26,BAU,0.000960979623233,0.0015240188506061,0.0012191066096263,0.0017346396518558,21.173454754086286,12.142049273713305
"EF v3.1, acidification, accumulated exceedance (AE)",2031,RCP26,BAU,0.0008258318376845,0.0013253689121009,0.0011024068688991,0.0015547551780244,25.088289906139376,14.753851227881237
"EF v3.1, acidification, accumulated exceedance (AE)",2032,RCP26,BAU,0.0007260196814852,0.0011766916041419,0.0010227408649247,0.0014227812772886,29.012352357832725,17.296381184863076
"EF v3.1, acidification, accumulated exceedance (AE)",2033,RCP26,BAU,0.0006484733696435,0.0010608372151619,0.0009664887992292,0.0013227024030863,32.90420228763391,19.797740392198754
"EF v3.1, acidification, accumulated exceedance (AE)",2034,RCP26,BAU,0.0005859243491149,0.0009677829874245,0.0009260918349245,0.0012449906947471,36.73150685291727,22.265845720148967
"EF v3.1, acidification, accumulated exceedance (AE)",2035,RCP26,BAU,0.0005339991929748,0.0008912686227905,0.0008970150770924,0.0011836118843037,40.46931800681499,24.699250268611557
"EF v3.1, acidification, accumulated exceedance (AE)",2036,RCP26,BAU,0.0004373374850669,0.0008201643790259,0.0008109106844173,0.0011252315821702,46.06835333768482,27.11150379870481
"EF v3.1, acidification, accumulated exceedance (AE)",2037,RCP26,BAU,0.0003005863288341,0.0007497992081475,0.0006737416880232,0.0010640874219429,55.38552323872982,29.535939182660968
"EF v3.1, acidification, accumulated exceedance (AE)",2038,RCP26,BAU,0.0003207905558472,0.0006986294242611,0.0007283592128013,0.0010240436144014,55.957095041960656,31.777376037886768
"EF v3.1, acidification, accumulated exceedance (AE)",2039,RCP26,BAU,0.0003413660454219,0.000660557973092,0.0007840642460498,0.0009984704284973,56.461980361719235,33.84301084548482
"EF v3.1, acidification, accumulated exceedance (AE)",2040,RCP26,BAU,0.000360532813027,0.0006316650135957,0.0008386225632197,0.0009830767931901,57.008930019386014,35.7461168881897
"EF v3.1, acidification, accumulated exceedance (AE)",2041,RCP26,BAU,0.0003801744653268,0.0006095734783695,0.0008790049023417,0.0009739348677437,56.7494488012522,37.41126860139122
"EF v3.1, acidification, accumulated exceedance (AE)",2042,RCP26,BAU,0.0003953519036315,0.0005922752569213,0.0009135439582607,0.0009690583499281,56.723275321724856,38.88136282348279
"EF v3.1, acidification, accumulated exceedance (AE)",2043,RCP26,BAU,0.0004050793779771,0.0005782887390447,0.0009410601177589,0.0009669664354215,56.95499465626259,40.19557268369668
"EF v3.1, acidification, accumulated exceedance (AE)",2044,RCP26,BAU,0.0004090042173675,0.000566519811812,0.0009611852521029,0.0009665645184292,57.44793040959871,41.38830869431536
"EF v3.1, acidification, accumulated exceedance (AE)",2045,RCP26,BAU,0.000407422195811,0.0005561780686589,0.0009743675560014,0.0009670717353971,58.18598502160979,42.488437175705315
"EF v3.1, acidification, accumulated exceedance (AE)",2046,RCP26,BAU,0.0004055709930086,0.0005469857552484,0.0009723711178351,0.0009673951835753,58.29051423168876,43.45787899968144
"EF v3.1, acidification, accumulated exceedance (AE)",2047,RCP26,BAU,0.0004002620572568,0.0005385456089837,0.0009661544085792,0.0009673238091308,58.57162647061618,44.326232446649236
"EF v3.1, acidification, accumulated exceedance (AE)",2048,RCP26,BAU,0.0003928968520556,0.0005306230364435,0.0009575177272847,0.0009667904067427,58.9671458961115,45.11498741166975
"EF v3.1, acidification, accumulated exceedance (AE)",2049,RCP26,BAU,0.0003848954322704,0.0005231051128885,0.0009482368262623,0.0009658332483477,59.409356227224755,45.83898268325277
"EF v3.1, acidification, accumulated exceedance (AE)",2050,RCP26,BAU,0.0003775378948534,0.0005159638720737,0.0009398708844902,0.0009645595859467,59.830876657256795,46.50782807085064
"EF v3.1, acidification, accumulated exceedance (AE)",2026,RCP26,Moderate,0.0042056845868688,0.0042056845868688,0.0043215337446463,0.0043215337446463,2.680741714004168,2.680741714004168
"EF v3.1, acidification, accumulated exceedance (AE)",2027,RCP26,Moderate,0.0022262727177507,0.0028860980951344,0.0023777407411472,0.0030256927778604,6.370249740660144,4.613643650387851
"EF v3.1, acidification, accumulated exceedance (AE)",2028,RCP26,Moderate,0.0015446268893905,0.0022154856357374,0.0017316236358074,0.002378776998926,10.798925502637275,6.864509084387691
