Year,Inflow,Stock,Outflow
2026,10.0,10.0,0.0
2027,10.0,19.999026063312957,0.0009739366870427091
2028,10.0,29.98801276002095,0.011013303292005006
2029,10.0,39.942567607640285,0.04544515238066538
2030,10.0,49.818671551149876,0.12389605649040725
2031,10.0,59.55010695940581,0.26856459174406844
2032,10.0,69.04783473330099,0.5022722261048216
2033,10.0,78.20188785516322,0.8459468781377737
2034,10.0,86.88636439730166,1.3155234578615556
2035,10.0,94.96784231522255,1.9185220820791145
2036,7.683010543439821,100.0,2.6508528586623896
2037,3.494411713221254,100.0,3.494411713221245
2038,4.414960900808197,100.0,4.4149609008082
2039,5.361901523108287,100.0,5.361901523108284
2040,6.274569906176794,100.0,6.274569906176796
2041,7.091642016590285,100.0,7.091642016590278
2042,7.760414295671197,100.0,7.7604142956712
2043,8.244764563583573,100.0,8.244764563583574
2044,8.530124239425447,100.0,8.530124239425447
2045,8.624455162745278,100.0,8.624455162745289
2046,8.555359130461511,100.0,8.555359130461508
2047,8.364479209643804,100.0,8.364479209643786
2048,8.100794515432625,100.0,8.100794515432625
2049,7.814140404592052,100.0,7.814140404592069
2050,7.549617958396837,100.0,7.549617958396831
