process,method,year,value,RCP
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2025,1946.1869752457087,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2026,1895.1764181789085,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2027,1844.1658611121086,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2028,1793.1553040453084,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2029,1742.1447469785085,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2030,1691.1341899117083,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2031,1663.187217610177,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2032,1635.2402453086459,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2033,1607.2932730071145,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2034,1579.3463007055834,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2035,1551.399328404052,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2036,1541.1085344813787,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2037,1530.8177405587053,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2038,1520.5269466360319,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2039,1510.2361527133585,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2040,1499.945358790685,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2041,1494.789995308893,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2042,1489.6346318271007,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2043,1484.4792683453084,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2044,1479.3239048635162,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2045,1474.168541381724,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2046,1473.3132113621225,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2047,1472.457881342521,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2048,1471.6025513229192,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2049,1470.7472213033177,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2050,1469.8918912837162,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2051,1471.085736932178,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2052,1472.2795825806395,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2053,1473.4734282291013,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2054,1474.667273877563,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2055,1475.8611195260246,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2056,1477.0549651744864,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2057,1478.2488108229481,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2058,1479.44265647141,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2059,1480.6365021198715,RCP26
"passenger bus | P1_e_bus_production | CH
| LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2060,1481.8303477683332,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2025,224.29166762655257,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2026,207.6658752555401,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2027,191.04008288452764,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2028,174.4142905135152,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2029,157.78849814250273,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2030,141.16270577149027,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2031,133.8420997340743,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2032,126.52149369665837,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2033,119.20088765924241,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2034,111.88028162182647,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2035,104.55967558441051,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2036,101.46608727225833,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2037,98.37249896010616,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2038,95.27891064795398,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2039,92.1853223358018,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2040,89.09173402364962,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2041,87.44980046264645,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2042,85.80786690164328,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2043,84.1659333406401,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2044,82.52399977963692,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2045,80.88206621863375,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2046,81.06492896533268,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2047,81.2477917120316,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2048,81.43065445873053,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2049,81.61351720542945,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2050,81.79637995212838,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2051,81.88882439415929,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2052,81.9812688361902,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2053,82.0737132782211,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2054,82.16615772025202,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2055,82.25860216228293,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2056,82.35104660431385,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2057,82.44349104634476,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2058,82.53593548837567,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2059,82.62837993040658,RCP26
"transport, passenger bus |
P2_e_bus_operation | CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2060,82.72082437243749,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2025,0.3033076045942474,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2026,0.30139039707978654,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2027,0.29947318956532576,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2028,0.2975559820508649,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2029,0.29563877453640414,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2030,0.2937215670219433,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2031,0.29313714283603737,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2032,0.29255271865013144,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2033,0.29196829446422556,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2034,0.29138387027831963,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2035,0.2907994460924137,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2036,0.2908934726718896,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2037,0.2909874992513654,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2038,0.2910815258308413,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2039,0.2911755524103171,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2040,0.291269578989793,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2041,0.2911870429156316,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2042,0.2911045068414702,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2043,0.2910219707673088,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2044,0.2909394346931474,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2045,0.290856898618986,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2046,0.29102418834392635,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2047,0.29119147806886664,RCP26
"used bus | P3_e_bus_eol_without_battery
| CH | LFP_e_bus","EF v3.1, acidification, accumulated exceedance (AE)",2048,0.291358767793807,RCP26
